# fragment_index page_index starting_height ending_height measure_number
1 1 0 1919 1
2 1 1919 end 13
3 2 0 1743 20
4 2 1743 end 26
5 3 0 1875 32
6 3 1875 end 37
7 4 0 1749 43
8 4 1749 end 49
9 5 0 1809 55
10 5 1809 end 61
11 6 0 1732 67
12 6 1732 end 73
13 7 0 1606 79
14 7 1573 end 84
15 8 0 1837 96
16 8 1837 end 102
17 9 0 1457 108
18 9 1457 end 115
19 10 0 1375 124
20 10 1375 end 130
21 11 0 1419 139
22 11 1419 end 146
23 12 0 1441 155
24 12 1441 end 161
25 13 0 1952 171

# time time_gb measure_number
0:00 0:00 1
0:23.17 0:23.114 13
0:36.576 0:36.445 20
0:48.068 0:47.875 26
0:59.56 0:59.306 32
1:09.135 1:08.831 37
1:20.637 1:20.258 43
1:32.118 1:31.689 49
1:43.621 1:43.115 55
1:55.113 1:54.541 61
2:06.605 2:05.971 67
2:18.082 2:17.397 73
2:29.589 2:28.835 79
2:39.156 2:38.351 84
3:02.128 3:01.208 96
3:13.625 3:12.638 102
3:25.117 3:24.07 108
3:38.519 3:37.398 115
3:55.774 3:54.543 124
4:07.263 4:05.971 130
4:24.502 4:23.114 139
4:37.908 4:36.45 146
4:55.144 4:53.589 155
5:06.624 5:05.015 161
5:25.776 5:24.066 171
5:44.94 5:43.112 1
