# fragment_index page_index starting_height ending_height measure_number
1 1 0 1584 1
2 1 1584 end 9
3 2 0 1474 36
4 2 1474 end 46
5 3 0 1435 60
6 3 1435 end 70
7 4 0 1969 83
8 4 1919 end 99
9 5 0 1573 119
10 5 1501 end 136
11 6 0 1534 158
12 6 1485 end 173
13 7 0 1864 194
14 7 1820 end 211
15 8 0 1529 229
16 8 1490 end 244
17 9 0 1551 263

# time time_gb measure_number
0:00 0:00 1
0:10.411 0:10.415 9
0:44.885 0:44.885 36
0:57.654 0:57.671 46
1:15.529 1:15.519 60
1:28.297 1:28.286 70
1:44.896 1:44.882 83
2:05.325 2:05.309 99
2:30.861 2:30.838 119
2:52.568 2:52.54 136
3:20.657 3:20.626 158
3:39.809 3:39.776 173
4:06.624 4:06.597 194
4:28.329 4:28.293 211
4:51.311 4:51.269 229
5:10.463 5:10.417 244
5:34.723 5:34.681 263
5:50.046 5:49.987 1
6:00.267 - 9
