# fragment_index page_index starting_height ending_height measure_number
1 1 0 1777 0
2 1 1777 end 12
3 2 0 1689 18
4 2 1689 end 25
5 3 0 2096 31
6 3 2096 end 41
7 4 0 1958 47
8 4 1925 end 56

# time time_gb measure_number
0:00 0:00 0
0:24.577 0:24.577 12
0:37.433 0:37.433 18
0:51.297 0:51.3 25
1:01.483 1:01.444 31
1:17.556 1:17.446 41
1:27.201 1:27.05 47
1:41.667 1:41.447 56
1:43.275 1:43.048 31
1:56.134 1:55.847 41
2:05.779 2:05.448 47
2:20.245 2:19.847 56
2:21.852 2:21.446 31
2:34.712 2:34.247 41
2:44.357 2:43.847 47
2:47.571 2:47.047 56
