# fragment_index page_index starting_height ending_height measure_number
1 1 0 2018 1
2 1 1947 end 7
3 2 0 1705 13
4 2 1705 end 20
5 3 0 1776 30
6 3 1754 end 40
7 4 0 1864 50
8 4 1864 end 60
9 5 0 1468 70
10 5 1413 end 80
11 6 0 1787 93
12 6 1787 end 101
13 7 0 1067 109

# time time_gb measure_number
0:00 0:00 1
0:04.991 0:05.003 7
0:09.79 0:09.803 13
0:15.361 0:15.401 20
0:23.374 0:23.402 30
0:31.385 0:31.401 40
0:39.401 0:39.41 50
0:47.406 0:47.404 60
0:55.399 0:55.404 70
1:03.404 1:03.423 80
1:13.79 1:13.783 93
1:20.19 1:20.18 101
1:26.591 1:26.602 109
1:29.791 1:29.803 1
1:34.591 1:34.603 7
