# fragment_index page_index starting_height ending_height measure_number
1 1 0 1611 1
2 1 1567 end 6
3 2 0 1144 16
4 2 1226 end 21
5 3 0 1177 31
6 3 1177 end 36
7 4 0 1820 48
8 4 1820 end 54
9 5 0 1474 59
10 5 1688 2557 64

# time time_gb measure_number
0:00 0:00 1
0:04.716 0:04.746 6
0:13.762 0:13.84 16
0:18.274 0:18.382 21
0:27.308 0:27.477 31
0:31.842 0:32.019 36
0:42.657 0:42.828 48
0:48.114 0:48.385 54
0:52.631 0:52.927 59
0:57.123 0:57.474 64
1:01.609 1:02.02 1
1:02.524 1:02.93 6
1:11.554 - 16
